FEE_DATA_SOURCE,TRAN_DT,TRAN_AM,LCTN_ID,CITY_NM,REP NAME,GRANDPARENT_CORP_DBA_NM,PARENT_,CHILD_LCTN_DBA_NM,latitude,longitude,preprocessed_address,preprocessed_partial_address
Settlement,2025-03-18,422.31,717200118882,CINCINNATI,"Black, S",ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,39.145058231726,-84.54149785695,3411 SPRING GROVE AVENUE CINCINNATI OH 45225,45225 CINCINNATI OH
Settlement,2025-03-27,558.6,717200099884,PERRY,"Traynor, T",AESTHETIC NURSE,AESTHETIC NURSE,AESTHETIC NURSE,39.431203722372,-91.674823945624,109 EAST MAIN STREET PERRY MO 63462,63462 PERRY MO
Settlement,2025-03-10,48.15,717200115888,TERRE HAUTE,"Ramirez, A",HOOSIERS SPORTS CARDS 1,HOOSIERS SPORTS CARDS 1,HOOSIERS SPORTS CARDS 1,39.462988856713,-87.376017841177,2800 POPLAR STREET TERRE HAUTE IN 47803,47803 TERRE HAUTE IN
Settlement,2025-02-18,904.54,717200079886,COLUMBUS,"Black, S",INDIANA PRECAST,INDIANA PRECAST,INDIANA PRECAST,39.186215020395,-85.930290334488,895 JONESVILLE ROAD COLUMBUS IN 47201,47201 COLUMBUS IN
Settlement,2025-04-08,220.96,717200151883,NASHVILLE,"Duff, T",SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,,,501 VERITAS STREET NASHVILLE TN 37211,37211 NASHVILLE TN
Settlement,2025-04-06,82.6,717200120888,DEMOSSVILLE,"Black, S",ILES TRANSPORTATION,ILES TRANSPORTATION,ILES TRANSPORTATION,38.763340498369,-84.505780790872,115 GRANT LANE DEMOSSVILLE KY 41033,41033 DEMOSSVILLE KY
Settlement,2025-04-05,180.69,717200159886,BOWLING GREEN,"Duff, T",PAYNES A1 TOWING,PAYNES A1 TOWING,PAYNES A1 TOWING,37.012684145233,-86.44920774727,550 POWER STREET BOWLING GREEN KY 42101,42101 BOWLING GREEN KY
Settlement,2025-03-25,484.54,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-05,1762.27,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-08,89.0,717200120888,DEMOSSVILLE,"Black, S",ILES TRANSPORTATION,ILES TRANSPORTATION,ILES TRANSPORTATION,38.763340498369,-84.505780790872,115 GRANT LANE DEMOSSVILLE KY 41033,41033 DEMOSSVILLE KY
Settlement,2025-03-26,50.0,717200136884,GALLATIN,"Duff, T",SAVIOR TOWING,SAVIOR TOWING,SAVIOR TOWING,,,1111 AVITT LANE GALLATIN TN 37206,37206 GALLATIN TN
Settlement,2025-04-06,129.07,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-01-20,516.26,717200037884,LAFAYETTE,"Duff, T",SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-03-04,512.65,717200109881,FLEMING ISLAND,"Ramirez, A",JAX BUDGET MOVERS,JAX BUDGET MOVERS,JAX BUDGET MOVERS,30.11810332368,-81.740948517128,1748 EAGLE WATCH DRIVE FLEMING ISLAND FL 32003,32003 FLEMING ISLAND FL
Settlement,2025-03-13,1958.76,717200040888,FARMERS BRANCH,"Bugg, S",CRETEX CONCRETE INC,CRETEX CONCRETE INC,CRETEX CONCRETE INC,32.911681311501,-96.887987203503,2665 VILLA CREEK DRIVE FARMERS BRANCH TX 75234,75234 FARMERS BRANCH TX
Settlement,2025-03-22,595.34,717200039880,CORBIN,"Bugg, S",CREEKSTONE RENTALS INC,CREEKSTONE RENTALS INC,CREEKSTONE RENTALS INC,36.888897309945,-84.193037158207,77 CREEKSTONE DRIVE CORBIN KY 40701,40701 CORBIN KY
Settlement,2025-04-08,98.09,717200133881,COLUMBIA,"Bugg, S",CRYSTAL CLEAN,CRYSTAL CLEAN,CRYSTAL CLEAN,34.065942272294,-81.190145612042,116 STEPHENSON LANE COLUMBIA SC 29212,29212 COLUMBIA SC
Settlement,2025-02-13,404.33,717200068889,FLORENCE,"Bugg, S",BIG BLUE MOVING LLC,BIG BLUE MOVING LLC,BIG BLUE MOVING LLC,,,401 DUDLEY TRACE FLORENCE KY 41042,41042 FLORENCE KY
Settlement,2025-03-26,92.93,717200084886,BEAVER DAM,"Duff, T",BRADLEYS BODY SHOP INC,BRADLEYS BODY SHOP INC,BRADLEYS BODY SHOP INC,37.406645608465,-86.873633651562,324 EAST 5TH STREET BEAVER DAM KY 42320,42320 BEAVER DAM KY
Settlement,2025-04-07,1688.68,717200118882,CINCINNATI,"Black, S",ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,39.145058231726,-84.54149785695,3411 SPRING GROVE AVENUE CINCINNATI OH 45225,45225 CINCINNATI OH
Settlement,2025-04-02,61.95,717200159886,BOWLING GREEN,"Duff, T",PAYNES A1 TOWING,PAYNES A1 TOWING,PAYNES A1 TOWING,37.012684145233,-86.44920774727,550 POWER STREET BOWLING GREEN KY 42101,42101 BOWLING GREEN KY
Settlement,2025-04-06,200.0,717200187887,NOLENSVILLE,"Duff, T",DAVS TOWING SERVICE,DAVS TOWING SERVICE,DAVS TOWING SERVICE,35.976782889038,-86.661419119037,2122 KIDD ROAD NOLENSVILLE TN 37135,37135 NOLENSVILLE TN
Settlement,2025-03-27,309.76,717200132883,LEXINGTON,"Bugg, S",THE RIGHT CHOICE,THE RIGHT CHOICE,THE RIGHT CHOICE,,,2860 JENNA REST LEXINGTON KY 40511,40511 LEXINGTON KY
Settlement,2025-03-26,32.1,717200147881,SULLIVAN,"Ramirez, A",HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,39.095649025987,-87.408302740237,19 N. COURT STREET SULLIVAN IN 47882,47882 SULLIVAN IN
Settlement,2025-03-05,1344.0,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-17,75.0,717200131885,LAFAYETTE,"Duff, T",SHOCKLEYS TOWING,SHOCKLEYS TOWING,SHOCKLEYS TOWING,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-03-22,206.5,717200139888,BOWLING GREEN,"Duff, T",SPEED AUTO SALES,SPEED AUTO SALES,SPEED AUTO SALES,,,106 CREEKWOOD AVENUE BOWLING GREEN KY 42101,42101 BOWLING GREEN KY
Settlement,2025-03-06,5832.04,717200078888,SPRINGFIELD,"Traynor, T",ALL AMERICAN READY MIX,ALL AMERICAN READY MIX,ALL AMERICAN READY MIX,39.829427073054,-89.679478601429,2 BUECKER LANE SPRINGFIELD IL 62707,62707 SPRINGFIELD IL
Settlement,2025-01-17,1543.47,717200037884,LAFAYETTE,"Duff, T",SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-03-04,2170.47,717200107885,CHANDLER,"Garcia, B",DEL SOL FOUNTAINS,DEL SOL FOUNTAINS,DEL SOL FOUNTAINS,33.281630030715,-111.841277151714,1703 SOUTH ARIZONA AVENUE CHANDLER AZ 85286,85286 CHANDLER AZ
Settlement,2025-03-14,4485.39,717200105889,FRENCHBURG,"Bugg, S",NEIGHBORS GARAGE,NEIGHBORS GARAGE,NEIGHBORS GARAGE,,,OLD US HIGHWAY 460 FRENCHBURG KY 40322,40322 FRENCHBURG KY
Settlement,2025-03-06,1136.49,717200043882,SALVISA,"Bugg, S",FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,,,5509 LOUISVILLE ROAD SALVISA KY 40372,40372 SALVISA KY
Settlement,2025-03-27,129.07,717200159886,BOWLING GREEN,"Duff, T",PAYNES A1 TOWING,PAYNES A1 TOWING,PAYNES A1 TOWING,37.012684145233,-86.44920774727,550 POWER STREET BOWLING GREEN KY 42101,42101 BOWLING GREEN KY
Settlement,2025-03-07,258.13,717200082880,SOMERSET,SkyUnassigned,SOMERSET AUTO SALES LLC,SOMERSET AUTO SALES LLC,SOMERSET AUTO SALES LLC,,,145 SOUTH HIGHWAY 27 SOMERSET KY 42501,42501 SOMERSET KY
Settlement,2025-03-26,1159.18,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-31,985.44,717160012885,KNOXVILLE,"Ely, E",KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,OLD CITY KITCHENS,35.972275584595,-83.918388047723,218 EAST DEPOT AVENUE KNOXVILLE TN 37917,37917 KNOXVILLE TN
Settlement,2025-04-08,188.55,717200153889,SHAWNEE,"Gibson, D",VAN EATON READY MIX,VAN EATON READY MIX,VAN EATON READY MIX,,,8 TIMBER POND SHAWNEE OK 74804,74804 SHAWNEE OK
Settlement,2025-03-24,764.61,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-26,200.0,717200136884,GALLATIN,"Duff, T",SAVIOR TOWING,SAVIOR TOWING,SAVIOR TOWING,,,1111 AVITT LANE GALLATIN TN 37206,37206 GALLATIN TN
